Country_Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Bosnia and Herzegovina,BIH,Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002688624,1.016426009,0.005569604,0.005586592,0.009595162,0.001711807,0.016886367,0.055439834,0.017757058,0.016476774,0.125416532,0.07878398,0.080172805,0.105973631,0.306474027,0.09951609,0.18665714,0.24665975,0.110428296,0.051415047,0.034233086,0.026116382,0.031488321,0.040744435,0.043429803,0.02942347,0.024744633,0.040978933,
Belarus,BLR,Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.246379986,0.571599571,0.543791337,0.557872612,0.543591437,0.632738412,0.770923623,0.635890646,0.17854654,0.663313998,1.425450193,1.119093967,0.954022462,0.911920176,0.933545901,0.993605044,0.953656788,0.861550655,0.953222849,0.582971057,0.616456717,0.923988874,0.833241769,0.674665253,0.582752215,0.360540198,0.3127029,0.402399786,0.65818037,0.515174521,0.292100099,0.672071496,
Belize,BLZ,Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00159124,2.033138126,2.816204171,4.627847482,2.953690802,3.888610417,5.315103928,3.486980413,2.197166072,1.497614545,0.424025526,0.264678472,0.294744237,0.369265959,0.234982234,0.078950463,0.154826435,
Bermuda,BMU,Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Bolivia,BOL,Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,,,,,,,,,,,,,,,,,2.412230573,1.284087967,1.59380423,3.7083172,4.851384539,2.607392692,1.761489965,2.080894784,2.084091809,1.961852451,1.250051449,1.804447007,1.357886625,1.881821211,2.324499876,1.433734858,1.42180122,1.477954227,1.380968047,1.606534401,1.936149578,1.566078901,1.235504602,1.735691729,3.198894881,2.00188012,2.280502611,2.623925957,4.069084431,6.42586006,6.344975275,4.881064263,4.646979883,2.402453052,2.652899651,4.259458165,7.056175282,7.521662616,6.614853556,2.844144198,1.366442692,1.695236143,2.887769184,2.312261396,1.214843989,2.292845314,
Brazil,BRA,Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,,,,,,,,,,,0.04772824,0.070111028,0.066084733,0.088562272,0.388249409,0.302100529,0.250934367,0.170934784,0.162692021,0.391175077,0.522619709,0.465355684,0.324758138,0.826538591,1.170754654,1.500587728,0.55364347,0.781994437,0.498452674,0.602339135,0.759480378,0.456080748,0.511947798,0.453683425,0.321036804,0.243939326,0.323335056,0.293408122,0.195325993,0.556140016,1.063619341,0.977575361,1.278080333,1.295897633,1.368971186,1.749651575,1.811649928,1.51672802,1.814015981,1.013826221,1.122947897,1.524820934,1.514439705,1.333614654,1.398763316,0.857685698,0.686699294,0.934976538,1.580296349,1.44608781,0.949585952,2.263551934,
Barbados,BRB,Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,0.259064152,0.334664633,0.177481024,0.233512019,0.381019732,0.206948177,0.245119562,0.195545381,0.191975777,0.229873889,0.201424822,0.152259969,0.132268465,0.26182703,0.352978653,0.229636439,0.226070484,0.205399621,0.214441316,0.329044232,0.372147986,0.314499051,0.363841554,0.190291674,0.261896072,0.451016544,0.403561713,0.334267193,0.269342468,0.100377755,0.07279439,0.106194049,0.177022601,0.206741246,0.114685397,0.296709015,
Brunei Darussalam,BRN,Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.38153895,25.76245456,15.83779002,17.54532164,17.87859493,16.75421603,15.48299855,17.61391122,17.27163665,11.70919167,15.83840515,23.59807992,18.68406089,17.36421471,19.45782429,21.01229213,24.66740557,27.62341211,24.9760425,22.42871428,15.83819406,18.6437854,21.46556585,17.90599872,14.23710727,14.44435008,12.20187635,9.785726079,10.65893376,14.7529028,13.86327006,9.193824587,16.03894059,
Bhutan,BTN,Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,,,,,,,,,,,,,,,,,,,,,0.000152328,0.000403177,0.000469179,0.000537275,0.000746751,0.001040055,0.001011377,0.001112352,0.001391331,0.001672279,0.00173322,0.00207698,0.053024193,0.031072464,0.039962158,0.063909147,0.050506958,0.030307742,0.023977024,0.017299087,0.018032719,0.043874984,0.028954905,0.0213699,0.022168687,0.043926724,0.049266295,0.055303678,0.132794175,0.025305182,0.055174413,0.061816285,0.045788539,0,0,0,0,0,0,0,0,0,
Botswana,BWA,Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,,,,,,,,,,,,0,0.01247157,0.025932865,0.05866282,0.213383624,0.650307715,0.735050614,0.56959237,0.479921501,0.573396422,0.798083454,0.959860812,0.521485305,0.417023346,0.575726168,0.396422165,0.21123608,0.235211899,0.266391355,0.25899018,0.228877309,0.220636377,0.150408589,0.176597261,0.217631319,0.164850347,0.126824697,0.108732144,0.070884794,0.099101248,0.172821623,0.130862878,0.089989805,0.259496818,0.195819254,0.202371734,0.227065176,0.537952565,0.148944343,0.299472888,0.247783119,0.333840683,0.27211869,0.21280841,0.211765557,0.204050341,0.301815015,0.381733367,0.230326031,0.187699537,0.353486763,
Central African Republic,CAF,Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Canada,CAN,Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,,,,,,,,,,,0.195934032,0.215051238,0.309603668,0.434661683,1.716861478,1.567060941,1.316023233,1.433626281,1.288044918,3.369236251,3.271032637,1.955851454,0.871789586,1.349033856,1.46831114,1.483609476,0.511116733,0.869053833,0.599593212,0.69257116,0.809047585,0.597569958,0.863962851,1.141963768,0.992992856,0.885416799,1.489047765,1.419089241,0.979826505,1.142453983,2.517731101,2.108878746,1.483932053,2.484989794,2.311993043,3.115328472,1.530085731,1.254013735,1.816097558,0.35661405,0.273815796,0.350184577,0.19890427,0.26669941,0.35920314,0.030015553,0.123509348,0.210662548,0.410042164,0.416681057,0.223536263,1.381379958,
Central Europe and the Baltics,CEB,Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,,,,,,,,,,,,,,,,,,,,,0.270399734,0.410867542,0.457222199,0.264008706,0.19460457,0.286922306,0.086214832,0.061509147,0.061024642,1.383618116,1.001151997,0.556479089,0.383594713,0.385722489,0.296629213,0.30363742,0.308764611,0.262636889,0.067184618,0.113534277,0.332835672,0.383693136,0.298467958,0.28050139,0.366962902,0.329435998,0.38199905,0.349547401,0.540442292,0.303140578,0.343443256,0.461781105,0.394979227,0.324122379,0.256818732,0.171142503,0.116156025,0.152898284,0.204449196,0.157705411,0.080920474,0.231511597,
Switzerland,CHE,Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.000140037,0.000233614,0.000472159,0.00059262,0.00080866,0.000151218,0.000216458,0.000266745,0.000315579,0.000204909,0.000189717,9.62147096556018E-05,9.02323824943346E-05,0.000139484,0.000175415,0.000354096,0.00018176,0.000394552,
Channel Islands,CHI,Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,,,,,,,,,,,0.028072627,0.038225578,0.041555469,0.052653439,0.317546626,0.706018307,0.581268892,0.34883749,0.342169777,0.662974808,0.640087554,0.616493989,0.387788548,0.58919763,0.59763222,0.597091436,0.200323254,0.384140336,0.188852792,0.225148448,0.230892924,0.094268485,0.069459605,0.057931166,0.043075503,0.028425286,0.02619655,0.017325873,0.016022871,0.029730575,0.049069703,0.04748418,0.039369,0.029767686,0.026345853,0.031640997,0.025781518,0.023430031,0.028959025,0.030192679,0.016923102,0.021833784,0.021321781,0.021250736,0.015173679,0.006976626,0.00532376,0.006267798,0.011333329,0.015315944,0.006680965,0.010264829,
